p.person_id,p.person_name,job.report_year,job.job_name,job.monthly_salary,job.job_id
110,"Slobodan Radović",2012,"ODBORNIK - Postavljena od: SO HERCEG NOVI - visina mjesecne zarade 130 €",,328
111,"Božidar Vuksanović",2007,"POSLANIK U SKUPŠTINI RCG",,329
111,"Božidar Vuksanović",2007,"POSLANIK U SKUPŠTINI RCG",,330
111,"Božidar Vuksanović",2007,"POSLANIK U SKUPŠTINI RCG",,331
59,"Džavid Šabović",2012,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1365 € (+ 300 € predsjednik odbora)",,332
59,"Džavid Šabović",2012,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1365 € (+ 300 € predsjednik odbora)",,333
59,"Džavid Šabović",2008,"POSLANIK U SKUPŠTINI CRNE GORE",,334
59,"Džavid Šabović",2008,"POSLANIK U SKUPŠTINI CRNE GORE",,335
93,"Redžep Taganović",2007,"ODBORNIK SO ULCINJ",,336
93,"Redžep Taganović",2007,"ODBORNIK SO ULCINJ",,337
19,"Sanja Vlahović",2008,"ODBORNIK (U OSTAVCI) - SO BAR",,338
158,"Dr Radoje Žugić",2009,"POSLANIK U SKUPŠTINI CRNE GORE",,339
112,"Mr Radoje Žugić",2009,"POSLANIK U SKUPŠTINI CRNE GORE",,340
113,"Predrag Bulatović",2013,"POSLANIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade",,341
113,"Predrag Bulatović",2013,"POSLANIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade",,342
103,"Dragan Ðurović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 267, 14 E (POSL. DODATAK -PAUŠAL- OD 01. NOVEMBRA NE PRIMA POSL. PLATU ZBOG PRELASKA U RADNI ODNOS U DRUGO PRAVNO LICE))",,343
104,"Dragan Đurović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 267, 14 E (POSL. DODATAK -PAUŠAL- OD 01. NOVEMBRA NE PRIMA POSL. PLATU ZBOG PRELASKA U RADNI ODNOS U DRUGO PRAVNO LICE))",,344
103,"Dragan Ðurović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 267, 14 E (POSL. DODATAK -PAUŠAL- OD 01. NOVEMBRA NE PRIMA POSL. PLATU ZBOG PRELASKA U RADNI ODNOS U DRUGO PRAVNO LICE))",,345
